"","Incident_ID","Incident_date","State","City","Address","No_killed","No_injured","Geo_Address","lon","lat"
"55",204477,2014-10-12,"Georgia","Atlanta","Arthur Langford Jr Place",1,3,"Arthur Langford Jr Place, Atlanta, Georgia",-84.3977639,33.7120262
"56",204236,2014-10-11,"New York","Utica","222 Bleecker Street",0,5,"222 Bleecker Street, Utica, New York",-75.228421,43.1012497
"57",202981,2014-10-08,"Georgia","Atlanta","Auburn Avenue and Edgewood Avenue",0,4,"Auburn Avenue and Edgewood Avenue, Atlanta, Georgia",-84.3770948,33.7543928
"58",204254,2014-10-08,"New York","Guilderland","1846 Western Ave",4,0,"1846 Western Ave, Guilderland, New York",-73.8711491,42.6914421
"59",201630,2014-10-05,"Florida","Jacksonville","7300 block of Linda Drive",3,1,"7300 block of Linda Drive, Jacksonville, Florida",-81.6723505,30.3870271
"60",201052,2014-10-05,"Michigan","Detroit","East 7 Mile Road and Sherwood Street",1,5,"East 7 Mile Road and Sherwood Street, Detroit, Michigan",-83.0340459,42.433768
"61",201648,2014-10-04,"Tennessee","Memphis","1400 block of Gherald Street",2,2,"1400 block of Gherald Street, Memphis, Tennessee",-89.9208519,35.169839
"62",201502,2014-10-04,"California","Pomona","1925 West Holt Avenue",0,4,"1925 West Holt Avenue, Pomona, California",-117.7841086,34.0617716
"63",198051,2014-09-29,"South Carolina","Walterboro","29 Sandy Dam Lane",1,7,"29 Sandy Dam Lane, Walterboro, South Carolina",-80.6204238,32.8852652
"64",198527,2014-09-29,"California","Fresno","2300 block of West Fountain Way",0,4,"2300 block of West Fountain Way, Fresno, California",-119.8381184,36.7813624
"65",197416,2014-09-28,"Pennsylvania","Philadelphia","2800 block of Hope Street",0,4,"2800 block of Hope Street, Philadelphia, Pennsylvania",-75.1312062,39.9926757
"66",197384,2014-09-28,"Florida","Miami","NW 7th Ave and NW 64th St",0,15,"NW 7th Ave and NW 64th St, Miami, Florida",-80.2085914,25.8341404
"67",197287,2014-09-27,"Missouri","Saint Louis","2000 block East John Avenue",0,5,"2000 block East John Avenue, Saint Louis, Missouri",-90.209797,38.6716819
"68",198064,2014-09-26,"South Carolina","Florence","650 Turner Rd",1,4,"650 Turner Rd, Florence, South Carolina",-79.7386219,34.1804212
"69",194945,2014-09-21,"Ohio","East Liverpool","440 First St",0,4,"440 First St, East Liverpool, Ohio",-80.5519752,40.6308212
"70",193960,2014-09-20,"Mississippi","Batesville","8297 Curtis Rd",2,2,"8297 Curtis Rd, Batesville, Mississippi",-90.0524388,34.3394859
"71",193570,2014-09-19,"New York","Queens","32-14 106th St",0,4,"32-14 106th St, Queens, New York",-73.8632818,40.759266
"72",192851,2014-09-18,"Florida","Bell","2550 NW 29th Terrace",8,0,"2550 NW 29th Terrace, Bell, Florida",-82.8573106,29.7751504
"73",191416,2014-09-15,"Louisiana","New Orleans","Chef Menteur Highway and Dale Street",0,5,"Chef Menteur Highway and Dale Street, New Orleans, Louisiana",-90.009757,30.011209
"74",190874,2014-09-14,"Texas","Flour Bluff","229 Naval Air Station Drive",3,1,"229 Naval Air Station Drive, Flour Bluff, Texas",-97.27439,27.6765082
"75",190599,2014-09-14,"Alaska","Anchorage","225 E Fifth",0,6,"225 E Fifth, Anchorage, Alaska",-149.8801505,61.2177897
"76",189562,2014-09-11,"Michigan","Detroit","14000 block of Patton",1,7,"14000 block of Patton, Detroit, Michigan",-83.24284,42.387662
"77",188332,2014-09-06,"Florida","Orlando","2015 Orange Blossom Trail",0,4,"2015 Orange Blossom Trail, Orlando, Florida",-81.3965152,28.5204997
"78",186488,2014-09-06,"Georgia","Macon","576 Poplar Street",0,5,"576 Poplar Street, Macon, Georgia",-83.6299795,32.8347541
"79",185393,2014-09-04,"Michigan","Flint","2400 block of Martin Luther King Boulevard",0,5,"2400 block of Martin Luther King Boulevard, Flint, Michigan",-83.704113,43.0384242
"80",185430,2014-09-03,"California","Los Angeles","East 27th and Stanford",0,6,"East 27th and Stanford, Los Angeles, California",-118.260077,34.0198906
"81",184507,2014-09-02,"California","Highland","25000 block of Fifth Street",0,5,"25000 block of Fifth Street, Highland, California",-117.2588079,34.1086995
"82",185196,2014-09-02,"Mississippi","Jackson","3622 Medgar Evers Boulevard",2,3,"3622 Medgar Evers Boulevard, Jackson, Mississippi",-90.2140529,32.3405229
"83",183432,2014-08-31,"California","Livermore","200 block of South Q Street",0,5,"200 block of South Q Street, Livermore, California",-121.777052,37.6783362
"84",182974,2014-08-29,"Florida","Brooksville","820 Peach St",3,1,"820 Peach St, Brooksville, Florida",-82.3909715,28.5459513
"85",181947,2014-08-27,"Michigan","Detroit","16600 block of Edmore",1,3,"16600 block of Edmore, Detroit, Michigan",-82.9484333,42.4472984
"86",180018,2014-08-24,"Illinois","Chicago","8300 block of South Halsted Street",1,3,"8300 block of South Halsted Street, Chicago, Illinois",-87.6443353,41.7432106
"87",180580,2014-08-24,"Georgia","Augusta","1013 Carrie Street",1,3,"1013 Carrie Street, Augusta, Georgia",-81.9742556,33.4665865
"88",180007,2014-08-24,"California","San Fernando","1400 block of Celis Street",3,4,"1400 block of Celis Street, San Fernando, California",-118.4461242,34.2860189
"89",178425,2014-08-20,"Tennessee","Memphis","1400 block of Briarcrest Lane",0,5,"1400 block of Briarcrest Lane, Memphis, Tennessee",-89.7326472,35.1211928
"90",178006,2014-08-18,"Louisiana","Saint Martinville","Main and Hyacinth streets",0,4,"Main and Hyacinth streets, Saint Martinville, Louisiana",-91.8268845,30.1297231
"91",175911,2014-08-17,"New York","Queens","153-38 118th Ave",0,4,"153-38 118th Ave, Queens, New York",-73.7884812,40.6808923
"92",175943,2014-08-17,"Massachusetts","Boston","Edinboro Street",0,4,"Edinboro Street, Boston, Massachusetts",-71.0597639,42.3521255
